Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Dividends Per Share,Pietroski F-Score
FITB,378145,USD,2020,Q4,2021-02-26,2021-02-26,2289000000.0,16465000000.0,-12874000000.0,,0.23606999999999997,0.1738,0.05725,0.00646,-9.73091,,7.856389999999999,0.08044,1.85105,1.83818,10.65018,29.37475,-18.01241,1.20045,
FMAO,939566,USD,2021,Q1,2021-04-27,2021-04-27,29540000.0,47912000.0,-3219000.0,,0.32896,0.26316,0.08467000000000001,0.01048,-0.15403,,7.0756,0.02404,1.8867900000000002,1.8867900000000002,7.1698,22.284010000000002,-0.29062,0.65969,
FMBH,743187,USD,2020,Q4,2021-03-08,2021-03-08,71463000.0,320217000.0,-112845000.0,,0.31959,0.24216999999999997,0.07967,0.00958,-2.4927099999999998,,7.3177,0.06775,2.70804,2.7006099999999997,11.18223,33.99127,-6.750360000000001,0.76653,
FNB,446814,USD,2020,Q4,2021-02-25,2021-02-25,340000000.0,2899000000.0,-1696000000.0,,0.28207,0.22862,0.056060000000000006,0.00744,-6.10072,,6.53257,0.07761,0.8597,0.8541,3.76041,15.33544,-5.24479,0.0,
GBCI,1059909,USD,2020,Q4,2021-03-01,2021-03-01,348460000.0,1177610000.0,385779000.0,,0.42458,0.3448,0.11547,0.0144,1.44812,,7.02075,0.06364,2.80764,2.8062099999999996,8.14275,24.31437,4.0658,1.38341,
GS,60439,USD,2020,Q4,2021-02-22,2021-02-22,14381000000.0,594025000000.0,-2204000000.0,,0.28005,0.20007,0.09293,0.007670000000000001,-0.24722,,11.123460000000001,0.51076,25.014029999999998,24.743270000000003,125.02806000000001,237.73568999999998,-6.18406,6.55443,
HBAN,378164,USD,2020,Q4,2021-02-26,2021-02-26,1339000000.0,8535000000.0,482000000.0,,0.20187,0.14891,0.05517999999999999,0.00583,0.67225,,8.469560000000001,0.06937,0.7049300000000001,0.69431,4.733969999999999,10.62021,0.47389,0.68625,
HBHC,734515,USD,2020,Q4,2021-03-01,2021-03-01,-31475000.0,2045835000.0,-436920000.0,,-0.09846,-0.035660000000000004,-0.01314,-0.00134,9.67194,,8.78144,0.060820000000000006,-0.52204,-0.52204,14.64125,39.74235,-5.049169999999999,1.10484,
HOMB,447371,USD,2020,Q4,2021-02-26,2021-02-26,295682000.0,939257000.0,-510549000.0,,0.39699,0.30891,0.0823,0.013080000000000001,-2.38076,,5.2933,0.05728,1.29675,1.29675,4.1978800000000005,15.75685,-3.0872599999999997,0.53018,
HTH,492790,USD,2021,Q1,2021-04-26,2021-04-26,686444000.0,2788659000.0,2415269000.0,,0.29278000000000004,0.22987,0.212,0.02932,4.657780000000001,,6.22924,0.1577,5.94696,5.93771,25.87148,27.74454,27.69963,0.39258000000000004,
