Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Loans & Interbank,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Effect of Foreign Exchange Rates,Net Change in Cash
PBCT,335764,USD,2021,Q1,2021-05-07,2021-05-07,418275000,420800000,233700000.0,84100000.0,108700000.0,606500000.0,51600000.0,1084600000,-44400000.0,1526200000.0,114800000.0,-567100000,-316600000.0,-4755000000.0,24300000.0,3686900000,,4204400000
PNC,348075,USD,2021,Q1,2021-05-05,2021-05-05,426250000,426000000,8469000000.0,1544000000.0,1710000000.0,-8458000000.0,2870000000.0,6135000000,,-38787000000.0,75000000.0,-33815000000,-2193000000.0,-422000000.0,-579000000.0,27642000000,,-38000000
SCHW,378109,USD,2021,Q1,2021-05-07,2021-05-07,1577750000,1584500000,3988000000.0,601000000.0,0.0,-7895000000.0,-4702000000.0,-8008000000,515000000.0,-6128000000.0,14748000000.0,-119813000000,-1444000000.0,7751000000.0,7899000000.0,106553000000,,-21268000000
SFBC,158885,USD,2021,Q1,2021-05-13,2021-05-13,2569953,2598350,10407000.0,836000.0,675000.0,304711000.0,-306052000.0,10577000,-81000.0,10346000.0,0.0,12144000,-1871000.0,4689000.0,-77000.0,184876000,,207597000
STBA,347280,USD,2021,Q1,2021-05-06,2021-05-06,39007856,39049001,98234000.0,11654000.0,14873000.0,109754000.0,-96092000.0,203557000,-4701000.0,-21082000.0,63759000.0,-55117000,-43873000.0,-499326000.0,-166000.0,335305000,,483745000
STI,335922,USD,2019,Q3,2019-10-31,2019-10-31,445129000,448184000,2558000000.0,699000000.0,,-32000000.0,-1542000000.0,1683000000,-436000000.0,-11849000000.0,0.0,-10713000000,-1019000000.0,5375000000.0,-987000000.0,10609000000,,1579000000
TFC,245217,USD,2021,Q1,2021-05-03,2021-05-03,1347403500,1358635750,4902000000.0,1554000000.0,1490000000.0,-44000000.0,-5126000000.0,2776000000,-450000000.0,28886000000.0,44000000.0,-21018000000,-2765000000.0,-33678000000.0,1993000000.0,14026000000,,-4216000000
TFSL,360767,USD,2021,Q2,2021-05-06,2021-05-06,276239697,277960923,88429000.0,38639000.0,3000000.0,-24747000.0,-2127000.0,103194000,-2268000.0,814293000.0,,851994000,-56427000.0,-789234000.0,1000.0,-602269000,,352919000
UMBF,256663,USD,2021,Q1,2021-04-29,2021-04-29,47989483,48301469,382584000.0,61254000.0,35000000.0,69272000.0,-67864000.0,480246000,-48270000.0,-3117680000.0,16623000.0,-5808866000,-60587000.0,1051651000.0,6562000.0,8102898000,,2774278000
WAL,345773,USD,2021,Q1,2021-04-30,2021-04-30,100068000,100431250,615200000.0,23500000.0,40000000.0,38299999.0,-70700000.0,646299999,-25700000.0,-5517200000.0,10662000.0,-9200500000,300000.0,-163200000.0,200100000.0,13485000000,,4930799999
WFC,58953,USD,2021,Q1,2021-05-05,2021-05-05,4127125000,4143125000,7877000000.0,9105000000.0,9076000000.0,106742000000.0,-151492000000.0,-18692000000,827000000.0,36887000000.0,0.0,182385000000,-4489000000.0,-61577000000.0,-22057000000.0,-27769000000,,135924000000
