Ticker,Date,SimFinId,Market-Cap,Price to Earnings Ratio (quarterly),Price to Earnings Ratio (ttm),Price to Sales Ratio (quarterly),Price to Sales Ratio (ttm),Price to Book Value,Price to Free Cash Flow (quarterly),Price to Free Cash Flow (ttm),Enterprise Value,EV/EBITDA,EV/Sales,EV/FCF,Book to Market Value,Operating Income/EV
STRT,2021-04-20,202406,191440198.0,23.26326,-220.67432999999997,1.47577,0.47395,0.99234,21.4006,30.65529,234572198.0,12.29156,0.59905,38.74665,0.9769100000000001,-0.0016899999999999999
STT,2021-04-20,378219,27650407660.0,55.709880000000005,12.28852,9.51098,2.36992,1.0586,18.95049,9.85614,45388407660.0,14.25963,3.87836,16.1295,0.9475399999999999,0.06497
STX,2021-04-20,378212,19504968317.0,73.28604,21.37327,7.8231399999999995,2.07807,21.351679999999998,60.89046999999999,17.36908,22850968317.0,13.44966,2.24646,18.77647,0.05076,0.05732999999999999
STZ,2021-04-20,256994,46064736519.0,36.064640000000004,22.841279999999998,18.947210000000002,5.369759999999999,3.3686800000000003,45.37839,14.86455,57236736519.0,18.11518,6.68279,18.499270000000003,0.29638000000000003,0.05002
SUI,2021-04-20,749231,17398318491.0,2222.22725,119.79136000000001,43.870290000000004,11.2749,2.65177,,,22015657491.0,,15.744060000000001,,0.34173000000000003,0.01241
SUP,2021-04-20,826868,124632699.0,-5.82275,-0.50983,0.3691,0.11281,-6.25379,1.6765400000000001,0.75583,605479699.0,5.435969999999999,0.55006,3.68543,-0.15932000000000002,0.02181
SUPN,2021-04-20,445197,1624739385.0,52.59391,12.72382,11.27224,3.10395,2.16859,36.2811,8.26349,1563957385.0,8.0725,3.00532,8.00089,0.45845,0.11227999999999999
SURF,2021-04-20,808799,269143826.0,3.90559,3.8638,3.00369,1.8172400000000002,1.47204,,,94002826.0,1.48607,0.7451,,0.57868,0.65515
SVMK,2021-04-20,997480,2589243738.0,-140.18628,-27.41804,25.38972,6.68505,7.249680000000001,-250.75574,-86.63004000000001,2578469738.0,-76.37874000000001,6.86475,-88.95876,0.13377,-0.031639999999999995
SVT,2021-04-20,250129,19086235.0,-18.43615,181.1654,1.70702,0.36346,0.5313399999999999,-8.3345,-75.17237,23079235.0,13.705010000000001,0.46303,-95.76446,1.7864200000000001,0.010490000000000001
SVU,2018-12-14,684097,1257967899.0,39.82645,,0.5112300000000001,,,3.94447,,,,,,,
SWI,2021-04-20,885119,5734887753.0,43.00219,35.82527,21.37855,5.53624,1.87425,-111.36729,21.674770000000002,7266961753.0,18.86058,7.12978,27.91357,0.52498,0.014790000000000001
SWK,2021-04-20,244442,32651626232.0,69.42232,25.8497,7.213769999999999,2.15269,2.82734,21.738970000000002,16.633960000000002,35524326231.0,17.8335,2.4441200000000003,18.88587,0.33892,0.04548
SWKS,2021-04-20,353611,30130531106.0,59.34005,28.649540000000002,20.0145,7.70079,6.9240699999999995,68.51482,31.81956,29111931106.0,18.68905,7.33372,30.30283,0.14653,0.04116
SWM,2021-04-20,803493,1455805067.0,93.63769,17.049970000000002,5.127619999999999,1.32985,2.19949,26.19116,7.2897300000000005,1994405067.0,9.3678,1.8563,10.17554,0.44621000000000005,0.07055
SWN,2021-04-20,401903,2650617574.0,-27.43729,-0.7247399999999999,3.24035,0.9772,4.538,-52.58814,-12.46069,5787617574.0,15.5164,2.50763,-31.975790000000003,0.1875,0.0027600000000000003
SWX,2021-04-20,448826,4171759070.0,40.09486,17.571379999999998,4.54181,1.23747,1.43707,21.008760000000002,-7.13094,7133756070.0,7.1345600000000005,2.16248,-12.46134,0.68093,0.0593
SWY,2015-02-09,86808,8122140000.0,67.3365,,0.97914,,,-11.93724,,,,,,,
