Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Operating Income (Loss),Non-Operating Income (Loss),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
CBSH,593216,USD,2020,Q4,2021-02-24,2021-02-24,,,1335714000,-137190000.0,1198524000,-768378000,430146000,,441178000,-87293000.0,353885000,,354057000,342091000
CFG,378202,USD,2020,Q4,2021-02-23,2021-02-23,427062537.0,428157780.0,6905000000,-1616000000.0,5289000000,-3991000000,1298000000,,1298000000,-241000000.0,1057000000,,1057000000,950000000
CFR,419929,USD,2020,Q4,2021-02-05,2021-02-05,62727053.0,63003837.0,1441455000,-241230000.0,1200225000,-848904000,351321000,,351321000,-20170000.0,331151000,,331151000,323621000
CIT,335466,USD,2020,Q4,2021-02-19,2021-02-19,98405000.0,98405000.0,2417099999,-800300000.0,1616799999,-1849800000,-233000001,,-703400001,88100000.0,-615300001,0.0,-615300001,-646400001
CMA,378118,USD,2020,Q4,2021-02-09,2021-02-09,139000000.0,140000000.0,2912000000,-537000000.0,2375000000,-1784000000,591000000,,591000000,-117000000.0,474000000,0.0,474000000,459000000
CNND,546895,USD,2013,Q3,2013-11-08,2013-11-08,1895522.0,1927635.0,102329000,-2525000.0,99804000,-68554000,31250000,,31250000,-10341000.0,20909000,,21360000,21360000
COF,378103,USD,2020,Q4,2021-02-25,2021-02-25,457800000.0,458900000.0,28523000000,-10264000000.0,18259000000,-15056000000,3203000000,,3203000000,-486000000.0,2717000000,-3000000.0,2714000000,2375000000
DFS,378127,USD,2020,Q3,2020-10-26,2020-10-26,308250000.0,308000000.0,11208000000,-5439000000.0,5769000000,-4425000000,1344000000,,1344000000,-294000000.0,1050000000,-11306000.0,1050000000,1013000000
EWBC,335579,USD,2020,Q4,2021-02-26,2021-02-26,142336000.0,142991000.0,1612740000,-210653000.0,1402087000,-716322000,685765000,,685765000,-117968000.0,567797000,,567797000,567797000
FCNCA,446741,USD,2020,Q4,2021-02-24,2021-02-24,10056654.0,10056654.0,1864919000,-58352000.0,1806567000,-1188685000,617882000,,617882000,-126159000.0,491723000,,491723000,477661000
FFIN,998435,USD,2020,Q4,2021-02-22,2021-02-22,142032420.0,142544991.0,489820000,-19517000.0,470303000,-227938000,242365000,,242365000,-40331000.0,202034000,,202034000,202034000
FHB,210774,USD,2020,Q4,2021-02-25,2021-02-25,129890225.0,130220077.0,733114000,-121718000.0,611396000,-367672000,243724000,,243724000,-57970000.0,185754000,,185754000,185754000
FITB,378145,USD,2020,Q4,2021-02-26,2021-02-26,714729585.0,719735415.0,7612000000,-1097000000.0,6515000000,-4718000000,1797000000,,1797000000,-370000000.0,1427000000,,1427000000,1323000000
FMAO,939566,USD,2020,Q4,2021-02-24,2021-02-24,11061391.0,11061391.0,76563000,-6981000.0,69582000,-44376000,25206000,,25206000,-5111000.0,20095000,,20095000,20095000
FMBH,743187,USD,2020,Q4,2021-03-08,2021-03-08,16716880.0,16762856.0,186932000,-16103000.0,170829000,-111087000,59742000,,59742000,-14472000.0,45270000,,45270000,45270000
